run,Position,Velocity,TorqueForce,TorqueGeneratingCurrent,timestamp,timestepsns,timestepsms,a_ziel,v_ziel,Amplitude,Messzeitms
60,27.1343994140625,-1998.137939453125,-0.05000000074505806,-0.1979999989271164,701244561242,436001813,436.001813,3551.0,92,30,1391.125226
60,26.189699172973633,-3076.172119140625,-0.05000000074505806,-0.18199999630451202,701268559755,460000326,460.000326,3551.0,92,30,1391.125226
60,24.829200744628906,-3945.923095703125,-0.05000000074505806,-0.19699999690055847,701292557778,483998349,483.998349,3551.0,92,30,1391.125226
60,23.19070053100586,-4385.3759765625,-0.05999999865889549,-0.21699999272823334,701316559155,507999726,507.999726,3551.0,92,30,1391.125226
60,21.367000579833984,-4843.14013671875,-0.05999999865889549,-0.24300000071525574,701340569540,532010111,532.010111,3551.0,92,30,1391.125226
60,19.413999557495117,-4980.46923828125,-0.07000000029802322,-0.25200000405311584,701364560789,556001360,556.00136,3551.0,92,30,1391.125226
60,17.37619972229004,-5248.26123046875,-0.05999999865889549,-0.210999995470047,701388559372,579999943,579.999943,3551.0,92,30,1391.125226
60,15.2746000289917,-5348.96923828125,-0.05999999865889549,-0.21299999952316284,701412558234,603998805,603.998805,3551.0,92,30,1391.125226
60,13.147600173950195,-5376.43505859375,-0.05999999865889549,-0.23000000417232513,701436557654,627998225,627.998225,3551.0,92,30,1391.125226
60,10.990099906921387,-5424.5,-0.07000000029802322,-0.25099998712539673,701460567202,652007773,652.007773,3551.0,92,30,1391.125226
60,8.818699836730957,-5403.89990234375,-0.07000000029802322,-0.2460000067949295,701484560407,676000978,676.000978,3551.0,92,30,1391.125226
60,6.626299858093262,-5463.41015625,-0.05999999865889549,-0.2199999988079071,701508559548,700000119,700.000119,3551.0,92,30,1391.125226
60,4.430799961090088,-5534.36279296875,-0.05999999865889549,-0.21899999678134918,701532557292,723997863,723.997863,3551.0,92,30,1391.125226
60,2.2369000911712646,-5543.51806640625,-0.05999999865889549,-0.2409999966621399,701556558110,747998681,747.998681,3551.0,92,30,1391.125226
60,0.035999998450279236,-5472.56494140625,-0.05999999865889549,-0.21799999475479126,701580569543,772010114,772.010114,3551.0,92,30,1391.125226
60,-2.1661999225616455,-5509.18603515625,-0.05999999865889549,-0.2070000022649765,701604560303,796000874,796.000874,3551.0,92,30,1391.125226
60,-4.373700141906738,-5525.2080078125,-0.05999999865889549,-0.22200000286102295,701628559724,820000295,820.000295,3551.0,92,30,1391.125226
60,-6.575799942016602,-5552.673828125,-0.05999999865889549,-0.2329999953508377,701652558097,843998668,843.998668,3551.0,92,30,1391.125226
60,-8.778900146484375,-5513.76416015625,-0.07000000029802322,-0.24899999797344208,701676557448,867998019,867.998019,3551.0,92,30,1391.125226
60,-10.988300323486328,-5580.13916015625,-0.07000000029802322,-0.2460000067949295,701700569509,892010080,892.01008,3551.0,92,30,1391.125226
60,-13.202300071716309,-5568.69482421875,-0.05999999865889549,-0.2280000001192093,701724560549,916001120,916.00112,3551.0,92,30,1391.125226
60,-15.409899711608887,-5509.18603515625,-0.05999999865889549,-0.2290000021457672,701748559062,939999633,939.999633,3551.0,92,30,1391.125226
60,-17.61590003967285,-5458.83203125,-0.07000000029802322,-0.2460000067949295,701772558482,963999053,963.999053,3551.0,92,30,1391.125226
60,-19.820100784301758,-5500.03076171875,-0.07000000029802322,-0.21699999272823334,701796558462,987999033,987.999033,3551.0,92,30,1391.125226
60,-22.03350067138672,-5442.81005859375,-0.05999999865889549,-0.21299999952316284,701820564866,1012005437,1012.005437,3551.0,92,30,1391.125226
60,-24.229999542236328,-5223.083984375,-0.05000000074505806,-0.19699999690055847,701844560446,1036001017,1036.001017,3551.0,92,30,1391.125226
60,-26.11680030822754,-3524.780029296875,-0.05000000074505806,-0.16099999845027924,701868560355,1060000926,1060.000926,3551.0,92,30,1391.125226
60,-27.18549919128418,-952.1480102539062,-0.03999999910593033,-0.14399999380111694,701892558379,1083998950,1083.99895,3551.0,92,30,1391.125226
60,-27.31399917602539,1217.6510009765625,0.05999999865889549,0.22100000083446503,701916558638,1107999209,1107.999209,3551.0,92,30,1391.125226
60,-26.60890007019043,2776.3369140625,0.05999999865889549,0.22200000286102295,701940568115,1132008686,1132.008686,3551.0,92,30,1391.125226
60,-25.381000518798828,3696.44189453125,0.05000000074505806,0.21799999475479126,701972558566,1163999137,1163.999137,3551.0,92,30,1391.125226
